image_filename,has_detection,person_detected,object_detected,vehicle_detected,animal_detected,food_detected,face_count,gray_histogram,gray_median,hue_histogram,hue_median,saturation_histogram,saturation_median,value_histogram,value_median,edges
https_i.ytimg.comviOrnpSe4OChMdefault.jpg,True,True,False,False,False,False,1,[0.33178105 0.21776961 0.24093137 0.15020425 0.05931373],87.0,[0.67892157 0.00637255 0.25257353 0.0502451  0.01188725],12.0,[0.20514706 0.13345588 0.30036765 0.32598039 0.03504902],128.0,[0.14411765 0.38125    0.23161765 0.10220588 0.14080882],88.0,0.1465686274509804
https_i.ytimg.comviOrwBc6PwAcYdefault.jpg,True,True,False,False,False,False,0,[0.44154412 0.17908497 0.14256536 0.13623366 0.1005719 ],65.0,[0.74840686 0.04938725 0.0995098  0.04705882 0.05563725],23.0,[0.13480392 0.19534314 0.22855392 0.21666667 0.22463235],140.0,[0.42953431 0.2182598  0.13137255 0.14730392 0.07352941],63.0,0.20980392156862746
https_i.ytimg.comviOs4MTTzTKRodefault.jpg,True,True,False,False,False,False,0,[0.48986928 0.23464052 0.1870098  0.06466503 0.02381536],52.0,[0.71029412 0.0189951  0.09191176 0.13198529 0.04681373],16.0,[0.34093137 0.39791667 0.20196078 0.04656863 0.01262255],62.0,[0.41139706 0.25379902 0.17205882 0.10477941 0.05796569],67.0,0.20710784313725492
https_i.ytimg.comviOsSKFlk8oEodefault.jpg,True,True,False,False,False,False,1,[0.31021242 0.02937092 0.07904412 0.2183415  0.36303105],169.0,[0.71053922 0.01237745 0.00943627 0.01409314 0.25355392],7.0,[0.00845588 0.02904412 0.13210784 0.13921569 0.69117647],243.0,[0.20735294 0.04240196 0.08455882 0.26776961 0.39791667],192.0,0.15024509803921568
https_i.ytimg.comviOtL1fEEtLaAdefault.jpg,True,True,True,False,False,False,0,[0.42642974 0.16968954 0.18521242 0.12826797 0.09040033],70.0,[0.43553922 0.01727941 0.0935049  0.23468137 0.2189951 ],101.0,[0.57046569 0.23137255 0.09534314 0.0377451  0.06507353],41.0,[0.26384804 0.21960784 0.14509804 0.16531863 0.20612745],107.5,0.29534313725490197
https_i.ytimg.comviOtkMzh9lilIdefault.jpg,True,True,False,False,False,False,0,[0.49844771 0.21744281 0.13974673 0.10596405 0.03839869],51.0,[0.59558824 0.07438725 0.1567402  0.04840686 0.12487745],20.0,[0.26127451 0.35465686 0.20453431 0.08786765 0.09166667],85.0,[0.58933824 0.13529412 0.14264706 0.10919118 0.02352941],39.0,0.1769607843137255
https_i.ytimg.comviOunFUkc2JeYdefault.jpg,True,True,False,False,False,False,1,[0.23643791 0.18680556 0.23856209 0.26478758 0.07340686],119.0,[0.24411765 0.00980392 0.07634804 0.16139706 0.50833333],145.0,[0.06078431 0.18909314 0.33590686 0.24816176 0.16605392],139.0,[0.40955882 0.31764706 0.1247549  0.09460784 0.05343137],60.0,0.22389705882352942
https_i.ytimg.comviOvHskUT3XTIdefault.jpg,True,True,False,False,False,False,1,[0.43329248 0.15298203 0.07160948 0.22173203 0.12038399],69.0,[0.62414216 0.05281863 0.04276961 0.03982843 0.24044118],18.0,[0.49436275 0.3189951  0.10367647 0.04227941 0.04068627],51.0,[0.15465686 0.07708333 0.0627451  0.38504902 0.32046569],178.0,0.21115196078431372
https_i.ytimg.comviOw-plaMZHT8default.jpg,True,False,True,True,False,False,0,[0.10347222 0.37340686 0.35061275 0.14387255 0.02863562],103.0,[0.10870098 0.00551471 0.55122549 0.13982843 0.19473039],103.0,[0.0870098  0.31875    0.42904412 0.14289216 0.02230392],110.0,[0.20036765 0.43382353 0.21139706 0.0942402  0.06017157],85.0,0.19178921568627452
https_i.ytimg.comviOwrjBiW3suMdefault.jpg,True,False,True,False,False,True,0,[0.40310458 0.15816993 0.10804739 0.18312908 0.14754902],72.0,[0.71666667 0.13995098 0.02818627 0.01862745 0.09656863],11.0,[0.24509804 0.04031863 0.11875    0.36556373 0.23026961],169.0,[0.16433824 0.35232843 0.17169118 0.09926471 0.21237745],96.0,0.19166666666666668
